flagged_risk_score,flagged_amount,flagged_is_online,flagged_is_in_person,is_new_device,is_proxy,has_device,mismatch_count,is_new_region,concurrent_home_count,amount_to_mean_ratio,amount_to_p75_ratio,prior_txns_count,prior_in_person_pct,prior_online_pct,txns_24h,txns_48h,online_48h,exposure_48h,conf_testing,conf_burst,conf_new_device,conf_region,conf_ato,max_graph_pattern,has_corroborated_pattern,lone_risk_score,prior_cases_count,prior_fraud_rate,case_id,card_id,outcome,target,pattern,exposure_usd,actions_taken,report_filed
0.26,155.43,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9999935662769974,0.9999935662769974,0.0,0.0,1.0,1.0,1.0,1.0,155.43,0.05,0.45,0.1,0.1,0.15,0.45,0.0,0.26,0.0,0.5,CC-0001,C00259-K1,confirmed_fraud,1,card_not_present_fraud,155.43,CREATE_CASE|BLOCK_CARD,No
0.73,117.05,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,2.165747696406765,2.0695386193056744,2.0,1.0,0.0,3.0,3.0,0.0,225.14,0.05,0.2,0.1,0.1,0.75,0.75,1.0,0.0,0.0,0.5,CC-0002,C06403-K2,confirmed_fraud,1,out_of_region_use,117.05,CREATE_CASE|BLOCK_CARD,No
0.13,37.97,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.08572634849104016,0.08572634849104016,1.0,1.0,0.0,2.0,2.0,0.0,480.89,0.05,0.2,0.1,0.88,0.75,0.88,1.0,0.0,0.0,0.5,CC-0003,C05876-K2,cleared,0,none,0.0,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No
0.33,226.01,0.0,1.0,0.0,0.0,0.0,2.0,0.0,32.0,1.6455197522720684,1.322210099249123,274.0,1.0,0.0,436.0,436.0,0.0,56381.97,0.05,0.2,0.1,0.1,0.75,0.75,1.0,0.0,0.0,0.5,CC-0004,C13440-K2,confirmed_fraud,1,out_of_region_use,857.92,CREATE_CASE|BLOCK_CARD,No
0.47,39.92,0.0,1.0,0.0,0.0,0.0,2.0,0.0,8.0,0.32670927854818743,0.4158723213634612,7.0,0.7142857142857143,0.2857142857142857,31.0,31.0,2.0,4250.73,0.05,0.85,0.1,0.1,0.88,0.88,1.0,0.0,0.0,0.5,CC-0005,C08945-K2,confirmed_fraud,1,out_of_region_use,39.92,CREATE_CASE|BLOCK_CARD,No
0.2,265.07,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.2331647677842856,0.8911084142122833,3.0,0.3333333333333333,0.6666666666666666,5.0,5.0,2.0,1499.75,0.05,0.72,0.1,0.88,0.88,0.88,1.0,0.0,0.0,0.5,CC-0006,C11227-K2,confirmed_fraud,1,out_of_region_use,265.07,CREATE_CASE|BLOCK_CARD,No
0.33,99.91,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999899910920719,0.9999899910920719,0.0,0.0,1.0,1.0,1.0,1.0,99.91,0.05,0.45,0.25,0.1,0.15,0.45,0.0,0.33,0.0,0.5,CC-0007,C00732-K1,confirmed_fraud,1,card_not_present_fraud,99.91,CREATE_CASE|BLOCK_CARD,No
0.84,49.04,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.9999796088986767,0.9999796088986767,0.0,1.0,0.0,1.0,1.0,0.0,49.04,0.05,0.2,0.1,0.38,0.75,0.75,1.0,0.0,0.0,0.5,CC-0008,C03667-K1,confirmed_fraud,1,account_takeover,49.04,CREATE_CASE|BLOCK_CARD,No
0.14,149.95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9997933071522392,0.9997933071522392,1.0,0.0,1.0,2.0,2.0,2.0,299.92999999999995,0.05,0.72,0.1,0.1,0.15,0.72,1.0,0.0,0.0,0.5,CC-0009,C10112-K1,cleared,0,none,0.0,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No
0.83,96.95,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.9999896855112376,0.9999896855112376,0.0,0.0,1.0,1.0,1.0,1.0,96.95,0.05,0.45,0.1,0.1,0.15,0.45,0.0,0.83,0.0,0.5,CC-0010,C03246-K1,cleared,0,none,0.0,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No
